name,category,subcategory,city,state,country,website_url,store_url,gift_shop_url,online_store_url,vendor_application_url,wholesale_url,contact_page_url,general_email,correct_business_email,retail_contact_name,retail_contact_title,retail_contact_email,partnership_contact_name,partnership_contact_email,procurement_contact_email,phone,LinkedIn,Instagram,TikTok,YouTube,source_url,source_type,evidence_notes,recommended_product_angle,opportunity_score,confidence_score,outreach_status,personalized_email_draft
Cleveland Museum of Art,Museums & Cultural Institutions,Art museum,Cleveland,OH,US,https://www.clevelandart.org,https://store.clevelandart.org/,https://store.clevelandart.org/,https://store.clevelandart.org/,,,,,,,Museum shop retail team,,,,,,,https://www.instagram.com/clevelandmuseumofart/,,,https://store.clevelandart.org/,official_store,official store and encyclopedic collection,museum gift capsule,86,88,manual_review,"Hi Cleveland Museum of Art team,

I noticed official store and encyclopedic collection. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a museum gift capsule. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
Detroit Institute of Arts,Museums & Cultural Institutions,Art museum,Detroit,MI,US,https://dia.org,https://diashop.org/,https://diashop.org/,https://diashop.org/,,,,,,,Museum shop retail team,,,,,,,https://www.instagram.com/diadetroit/,,,https://diashop.org/,official_store,official DIA shop and city cultural audience,museum gift capsule,86,88,manual_review,"Hi Detroit Institute of Arts team,

I noticed official DIA shop and city cultural audience. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a museum gift capsule. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
Walker Art Center,Museums & Cultural Institutions,Contemporary art museum,Minneapolis,MN,US,https://walkerart.org,https://shop.walkerart.org/,https://shop.walkerart.org/,https://shop.walkerart.org/,,,,,,,Museum shop retail team,,,,,,,https://www.instagram.com/walkerartcenter/,,,https://shop.walkerart.org/,official_store,official shop and design-forward audience,museum gift capsule,86,88,manual_review,"Hi Walker Art Center team,

I noticed official shop and design-forward audience. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a museum gift capsule. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
Crystal Bridges Museum of American Art,Museums & Cultural Institutions,Art museum,Bentonville,AR,US,https://crystalbridges.org,https://store.crystalbridges.org/,https://store.crystalbridges.org/,https://store.crystalbridges.org/,,,,,,,Museum shop retail team,,,,,,,https://www.instagram.com/crystalbridgesmuseum/,,,https://store.crystalbridges.org/,official_store,official store and tourism audience,museum gift capsule,86,88,manual_review,"Hi Crystal Bridges Museum of American Art team,

I noticed official store and tourism audience. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a museum gift capsule. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
High Museum of Art,Museums & Cultural Institutions,Art museum,Atlanta,GA,US,https://high.org,https://museumshop.high.org/,https://museumshop.high.org/,https://museumshop.high.org/,,,,,,,Museum shop retail team,,,,,,,https://www.instagram.com/highmuseumofart/,,,https://museumshop.high.org/,official_store,official museum shop and regional cultural audience,museum gift capsule,86,88,manual_review,"Hi High Museum of Art team,

I noticed official museum shop and regional cultural audience. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a museum gift capsule. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
Asian Art Museum,Museums & Cultural Institutions,Asian art museum,San Francisco,CA,US,https://asianart.org,https://shop.asianart.org/,https://shop.asianart.org/,https://shop.asianart.org/,,,,,,,Museum shop retail team,,,,,,,https://www.instagram.com/asianartmuseum/,,,https://shop.asianart.org/,official_store,Asian art collection and official shop create strong product fit,panda / Chinese culture collection,94,88,manual_review,"Hi Asian Art Museum team,

I noticed Asian art collection and official shop create strong product fit. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a panda / Chinese culture collection. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
Peabody Essex Museum,Museums & Cultural Institutions,Art and culture museum,Salem,MA,US,https://www.pem.org,https://pemshop.com/,https://pemshop.com/,https://pemshop.com/,,,,,,,Museum shop retail team,,,,,,,https://www.instagram.com/peabodyessex/,,,https://pemshop.com/,official_store,official museum shop and Asian export art/culture fit,museum gift capsule,86,88,manual_review,"Hi Peabody Essex Museum team,

I noticed official museum shop and Asian export art/culture fit. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a museum gift capsule. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
National Gallery of Art,Museums & Cultural Institutions,Art museum,Washington,DC,US,https://www.nga.gov,https://shop.nga.gov/,https://shop.nga.gov/,https://shop.nga.gov/,,,,,,,Museum shop retail team,,,,,,,https://www.instagram.com/ngadc/,,,https://shop.nga.gov/,official_store,official shop and national art audience,museum gift capsule,86,88,manual_review,"Hi National Gallery of Art team,

I noticed official shop and national art audience. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a museum gift capsule. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
Grand Canyon Conservancy,Tourism & Attractions,National park partner store,Grand Canyon Village,AZ,US,https://www.grandcanyon.org,https://shop.grandcanyon.org/,https://shop.grandcanyon.org/,https://shop.grandcanyon.org/,,,https://www.grandcanyon.org,,,,Attraction retail team,,,,,,,,,,https://shop.grandcanyon.org/,official_store,official conservancy shop for Grand Canyon visitor audience,city landmark collection,86,87,manual_review,"Hi Grand Canyon Conservancy team,

I noticed official conservancy shop for Grand Canyon visitor audience. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a city landmark collection. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
Golden Gate National Parks Conservancy,Tourism & Attractions,National park partner store,San Francisco,CA,US,https://www.parksconservancy.org,https://store.parksconservancy.org/,https://store.parksconservancy.org/,https://store.parksconservancy.org/,,,https://www.parksconservancy.org,,,,Attraction retail team,,,,,,,,,,https://store.parksconservancy.org/,official_store,official park conservancy store and landmark audience,city landmark collection,86,87,manual_review,"Hi Golden Gate National Parks Conservancy team,

I noticed official park conservancy store and landmark audience. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a city landmark collection. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
Statue City Cruises,Tourism & Attractions,Landmark attraction,New York,NY,US,https://www.cityexperiences.com/new-york/city-cruises/statue/,,,,,,https://www.cityexperiences.com/new-york/city-cruises/statue/,,,,,,,,,,,,,,https://www.cityexperiences.com/new-york/city-cruises/statue/,official_website,official Statue of Liberty/Ellis Island cruise operator visitor channel,city landmark collection,76,78,manual_review,"Hi Statue City Cruises team,

I noticed official Statue of Liberty/Ellis Island cruise operator visitor channel. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a city landmark collection. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
Empire State Building Observatory,Tourism & Attractions,Observation deck,New York,NY,US,https://www.esbnyc.com,https://shop.esbnyc.com/,https://shop.esbnyc.com/,https://shop.esbnyc.com/,,,https://www.esbnyc.com,,,,Attraction retail team,,,,,,,,,,https://shop.esbnyc.com/,official_store,official Empire State Building shop and tourism market,city landmark collection,86,87,manual_review,"Hi Empire State Building Observatory team,

I noticed official Empire State Building shop and tourism market. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a city landmark collection. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
Space Needle,Tourism & Attractions,Observation deck,Seattle,WA,US,https://www.spaceneedle.com,https://shop.spaceneedle.com/,https://shop.spaceneedle.com/,https://shop.spaceneedle.com/,,,https://www.spaceneedle.com,,,,Attraction retail team,,,,,,,,,,https://shop.spaceneedle.com/,official_store,official shop for major Seattle landmark,city landmark collection,86,87,manual_review,"Hi Space Needle team,

I noticed official shop for major Seattle landmark. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a city landmark collection. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
Gateway Arch Park Foundation,Tourism & Attractions,National park foundation,St. Louis,MO,US,https://www.archpark.org,https://shop.archpark.org/,https://shop.archpark.org/,https://shop.archpark.org/,,,https://www.archpark.org,,,,Attraction retail team,,,,,,,,,,https://shop.archpark.org/,official_store,official Gateway Arch park foundation shop,city landmark collection,86,87,manual_review,"Hi Gateway Arch Park Foundation team,

I noticed official Gateway Arch park foundation shop. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a city landmark collection. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
Colonial Williamsburg,Tourism & Attractions,Historic site,Williamsburg,VA,US,https://www.colonialwilliamsburg.org,https://shop.colonialwilliamsburg.com/,https://shop.colonialwilliamsburg.com/,https://shop.colonialwilliamsburg.com/,,,https://www.colonialwilliamsburg.org,,,,Attraction retail team,,,,,,,,,,https://shop.colonialwilliamsburg.com/,official_store,official shop for historic destination,heritage gift collection,86,87,manual_review,"Hi Colonial Williamsburg team,

I noticed official shop for historic destination. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a heritage gift collection. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
Mount Vernon,Tourism & Attractions,Historic estate,Mount Vernon,VA,US,https://www.mountvernon.org,https://shops.mountvernon.org/,https://shops.mountvernon.org/,https://shops.mountvernon.org/,,,https://www.mountvernon.org,,,,Attraction retail team,,,,,,,,,,https://shops.mountvernon.org/,official_store,official Mount Vernon shops,heritage gift collection,86,87,manual_review,"Hi Mount Vernon team,

I noticed official Mount Vernon shops. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a heritage gift collection. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
Alcatraz City Cruises,Tourism & Attractions,Historic attraction,San Francisco,CA,US,https://www.cityexperiences.com/san-francisco/city-cruises/alcatraz/,,,,,,https://www.cityexperiences.com/san-francisco/city-cruises/alcatraz/,,,,,,,,,,,,,,https://www.cityexperiences.com/san-francisco/city-cruises/alcatraz/,official_website,official Alcatraz tour operator visitor channel,city landmark collection,76,78,manual_review,"Hi Alcatraz City Cruises team,

I noticed official Alcatraz tour operator visitor channel. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a city landmark collection. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
Niagara Falls State Park,Tourism & Attractions,State park attraction,Niagara Falls,NY,US,https://www.niagarafallsstatepark.com,https://shop.niagarafallsstatepark.com/,https://shop.niagarafallsstatepark.com/,https://shop.niagarafallsstatepark.com/,,,https://www.niagarafallsstatepark.com,,,,Attraction retail team,,,,,,,,,,https://shop.niagarafallsstatepark.com/,official_store,official state park shop for major tourism market,city landmark collection,86,87,manual_review,"Hi Niagara Falls State Park team,

I noticed official state park shop for major tourism market. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a city landmark collection. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
Independence Visitor Center,Tourism & Attractions,Visitor center,Philadelphia,PA,US,https://www.phlvisitorcenter.com,https://www.phlvisitorcenter.com/shop,https://www.phlvisitorcenter.com/shop,https://www.phlvisitorcenter.com/shop,,,https://www.phlvisitorcenter.com,,,,Attraction retail team,,,,,,,,,,https://www.phlvisitorcenter.com/shop,official_store,official visitor center shop,city landmark collection,86,87,manual_review,"Hi Independence Visitor Center team,

I noticed official visitor center shop. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a city landmark collection. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
Visit Seattle,Tourism & Attractions,Tourism board,Seattle,WA,US,https://visitseattle.org,,,,,,https://visitseattle.org,,,,,,,,,,,,,,https://visitseattle.org,official_website,destination marketing organization with city gift potential,city landmark collection,76,78,manual_review,"Hi Visit Seattle team,

I noticed destination marketing organization with city gift potential. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a city landmark collection. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
NYC Tourism + Conventions,Tourism & Attractions,Tourism board,New York,NY,US,https://www.nyctourism.com,,,,,,https://www.nyctourism.com,,,,,,,,,,,,,,https://www.nyctourism.com,official_website,destination marketing organization for major tourism market,city landmark collection,76,78,manual_review,"Hi NYC Tourism + Conventions team,

I noticed destination marketing organization for major tourism market. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a city landmark collection. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
Choose Chicago,Tourism & Attractions,Tourism board,Chicago,IL,US,https://www.choosechicago.com,,,,,,https://www.choosechicago.com,,,,,,,,,,,,,,https://www.choosechicago.com,official_website,tourism board with event and destination gift potential,city landmark collection,76,78,manual_review,"Hi Choose Chicago team,

I noticed tourism board with event and destination gift potential. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a city landmark collection. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
